code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_10,sma_7,open_pct,lowest_30,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_sma_10,prev_sma_5,pre_volume_ratio_5,pre_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,code_right,buy_date,buy_price,sell_date,sell_price,profit,holding_days,trading_date_right
SHSE.600744,stock,2025-04-10,2025-04-10T16:00:00.000+0800,3.55,3.45,3.69,3.41,3.59,3.91,3.2,131641080.0,468865856.0,1.13,4.026995658874512,3.56,3038019104.8399997,1,false,false,true,断板,断板,断板,1天1板,3.411999999999999,3.3440000000000003,3.398571428571429,-2.8169014084506943,3.04,1.2507769499669303,0.4999999999999992,0.3571428571428577,0.14285714285714307,1,断板,3.3442857142857148,3.3190000000000004,3.3639999999999994,1.8766839405913265,4.41,0.4838709677419351,0.2258064516129041,0.29032258064516075,1,SHSE.600744,2025-04-10 09:30,3.45,2025-04-11 11:28:00,3.46,0.2296992061801788,1.49,2025-04-10
SHSE.600882,stock,2025-04-10,2025-04-10T16:00:00.000+0800,26.71,25.98,27.95,25.55,26.24,29.38,24.04,30944754.0,835268672.0,-1.76,2.278534412384033,26.99,6378964808.32,1,false,false,true,断板,断板,断板,1天1板,25.383999999999993,24.619000000000007,24.887142857142862,-2.733058779483341,18.03,1.093522072868155,0.10833333333333257,0.7125000000000008,0.17916666666666664,1,断板,24.504285714285718,24.160000000000007,24.843999999999994,1.3289721333067912,2.97,0.3269230769230767,0.44230769230769185,0.23076923076923148,1,SHSE.600882,2025-04-10 09:30,25.98,2025-04-11 11:28:00,25.34,-2.5219377989528455,1.49,2025-04-10
SHSE.600975,stock,2025-04-10,2025-04-10T16:00:00.000+0800,6.67,6.4,6.79,6.39,6.69,7.34,6.0,125128784.0,829573504.0,0.3,7.317020416259766,6.63,4259823983.1000004,1,false,false,true,断板,断板,断板,1天1板,6.374000000000002,6.2090000000000005,6.251428571428572,-4.047976011993996,5.85,1.2313158670843116,0.7249999999999994,0.2499999999999989,0.025000000000001667,1,断板,6.140000000000001,6.175,6.222000000000002,1.905778024378204,2.14,0.1403508771929825,0.3508771929824563,0.5087719298245612,1,SHSE.600975,2025-04-10 09:30,6.4,2025-04-11 11:28:00,6.43,0.40848682895130783,1.49,2025-04-10
SHSE.601933,stock,2025-04-10,2025-04-10T16:00:00.000+0800,6.04,5.79,6.58,5.78,6.23,6.64,5.44,1115088512.0,6886585856.0,3.15,9.17165470123291,6.18,24553692204.230003,1,false,false,true,断板,断板,断板,3天2板,5.6499999999999995,5.141,5.358571428571429,-4.13907284768212,4.48,1.290981813845491,0.5500000000000006,0.43749999999999967,0.012499999999999737,1,炸板,5.152857142857143,4.988,5.331999999999999,1.8870942778024908,5.96,0.0806451612903224,0.3709677419354836,0.5483870967741941,1,SHSE.601933,2025-04-10 09:30,5.79,2025-04-11 11:28:00,6.07,4.7730413173112005,1.49,2025-04-10
SZSE.000008,stock,2025-04-10,2025-04-10T16:00:00.000+0800,2.89,2.81,3.18,2.76,3.06,3.18,2.6,400640928.0,1219321984.0,5.88,26.739215850830078,3.04,4967075345.22,1,false,true,false,,炸板,炸板,1天1板,2.8080000000000003,2.6950000000000003,2.737142857142857,-2.7681660899654004,2.52,1.6630641442221825,0.5952380952380947,0.2857142857142857,0.11904761904761958,1,断板,2.665714285714286,2.6580000000000004,2.7060000000000004,1.6149040692790984,5.09,0.7777777777777776,0.2222222222222224,0.0,1,SZSE.000008,2025-04-10 09:30,2.81,2025-04-11 11:28:00,3.12,10.965429232440254,1.49,2025-04-10
SZSE.000061,stock,2025-04-10,2025-04-10T16:00:00.000+0800,7.31,6.98,7.4,6.94,7.22,8.04,6.58,69144056.0,502030560.0,-1.23,21.854650497436523,7.26,4202293111.54,1,false,false,true,断板,断板,断板,1天1板,6.942,6.63,6.788571428571428,-4.514363885088908,6.1,1.4287268737215824,0.5217391304347812,0.3913043478260883,0.08695652173913052,1,断板,6.655714285714287,6.544,6.781999999999999,2.0334940830420463,2.81,0.7058823529411774,0.0,0.2941176470588226,-1,SZSE.000061,2025-04-10 09:30,6.98,2025-04-11 11:28:00,6.98,-0.05998200539838617,1.49,2025-04-10
SZSE.000403,stock,2025-04-10,2025-04-10T16:00:00.000+0800,25.08,24.2,25.1,24.1,24.75,27.59,22.57,38100520.0,940289920.0,-1.32,7.580710411071777,24.68,10714221713.25,1,false,false,true,断板,断板,断板,1天1板,24.278,23.081000000000007,23.63571428571429,-3.5087719298245577,20.57,0.7617031380945304,0.5500000000000007,0.3500000000000014,0.09999999999999787,1,断板,23.180000000000003,22.793000000000006,23.696,1.1647720620234139,-1.84,0.059259259259257936,0.48148148148148256,0.45925925925925953,1,SZSE.000403,2025-04-10 09:30,24.2,2025-04-11 11:28:00,24.77,2.2939770961273727,1.49,2025-04-10
SZSE.000735,stock,2025-04-10,2025-04-10T16:00:00.000+0800,6.82,6.55,6.89,6.52,6.7,7.5,6.14,121471864.0,821344832.0,-1.76,5.9064249992370605,6.76,6056529594.7,1,false,false,true,断板,断板,断板,1天1板,6.417999999999999,6.267,6.322857142857143,-3.9589442815249334,5.72,1.182202381034874,0.40540540540540626,0.513513513513512,0.08108108108108172,1,断板,6.227142857142857,6.232,6.295999999999999,1.9363709207432118,5.08,0.34615384615384664,0.38461538461538425,0.2692307692307691,1,SZSE.000735,2025-04-10 09:30,6.55,2025-04-11 11:28:00,6.51,-0.6703027259760913,1.49,2025-04-10
SZSE.000822,stock,2025-04-10,2025-04-10T16:00:00.000+0800,6.62,6.36,6.75,6.32,6.52,7.28,5.96,100330408.0,654725312.0,-1.51,2.5062878131866455,6.53,3481960672.9599996,1,false,false,true,断板,断板,断板,3天2板,6.304,6.1080000000000005,6.155714285714285,-3.927492447129906,5.14,1.1469993407450034,0.37209302325581245,0.534883720930234,0.09302325581395363,1,断板,6.025714285714286,6.113,6.154000000000001,1.7708469409746663,5.08,0.6808510638297882,0.02127659574468041,0.2978723404255314,1,SZSE.000822,2025-04-10 09:30,6.36,2025-04-11 11:28:00,6.34,-0.374258791544927,1.49,2025-04-10
SZSE.000859,stock,2025-04-10,2025-04-10T16:00:00.000+0800,6.18,5.94,6.58,5.94,6.24,6.8,5.56,187757520.0,1179922688.0,0.97,3.7188658714294434,6.28,3741592345.92,1,false,false,true,断板,断板,断板,8天3板,5.912000000000001,5.777,5.890000000000001,-3.8834951456310574,4.93,1.301903882345298,0.46874999999999994,0.53125,0.0,1,炸板,5.7614285714285725,5.67,5.824,1.5289499438995777,5.28,0.3535353535353531,0.28282828282828304,0.36363636363636387,1,SZSE.000859,2025-04-10 09:30,5.94,2025-04-11 11:28:00,6.25,5.155742839437737,1.49,2025-04-10
SZSE.002100,stock,2025-04-10,2025-04-10T16:00:00.000+0800,6.82,6.6,6.86,6.56,6.78,7.5,6.14,118228080.0,799393984.0,-0.59,12.412030220031738,6.76,6442180472.58,1,false,false,true,断板,断板,断板,1天1板,6.5840000000000005,6.428999999999999,6.491428571428571,-3.2258064516129124,6.07,1.049855712690962,0.6000000000000006,0.2666666666666663,0.13333333333333314,1,断板,6.407142857142857,6.388999999999999,6.478,1.8037234911609112,0.59,0.02325581395348991,0.48837209302325507,0.48837209302325507,1,SZSE.002100,2025-04-10 09:30,6.6,2025-04-11 11:28:00,6.51,-1.422800432597476,1.49,2025-04-10
SZSE.002458,stock,2025-04-10,2025-04-10T16:00:00.000+0800,10.29,9.93,10.38,9.92,10.19,11.32,9.26,51585344.0,526382752.0,-0.97,8.549678802490234,10.2,6488849533.61,1,false,false,true,断板,断板,断板,1天1板,9.962,9.702,9.781428571428572,-3.4985422740524728,8.41,0.9548598367288491,0.5652173913043463,0.41304347826087157,0.021739130434782105,1,断板,9.652857142857142,9.658999999999999,9.788,1.6541078886801985,-0.48,0.16494845360824745,0.4432989690721662,0.39175257731958635,-1,SZSE.002458,2025-04-10 09:30,9.93,2025-04-11 11:28:00,9.86,-0.7644937133160244,1.49,2025-04-10
SZSE.002556,stock,2025-04-10,2025-04-10T16:00:00.000+0800,5.65,5.41,5.77,5.39,5.69,6.22,5.09,73795816.0,414963712.0,0.71,6.050548076629639,5.62,3287937981.7200003,1,false,false,true,断板,断板,断板,1天1板,5.428,5.432,5.415714285714286,-4.247787610619472,4.92,1.5623529203738062,0.7368421052631587,0.2105263157894716,0.05263157894736965,1,断板,5.362857142857143,5.420999999999999,5.3660000000000005,2.4986346513906286,4.44,0.40540540540540626,0.24324324324324278,0.351351351351351,1,SZSE.002556,2025-04-10 09:30,5.41,2025-04-11 11:28:00,5.52,1.9720701164881511,1.49,2025-04-10
SZSE.002567,stock,2025-04-10,2025-04-10T16:00:00.000+0800,5.36,5.17,5.51,5.15,5.4,5.9,4.82,176336608.0,944388288.0,0.75,5.304924011230469,5.36,5993646813.0,1,false,false,true,断板,断板,断板,1天1板,5.172000000000001,5.063000000000001,5.102857142857144,-3.5447761194029916,4.68,1.0859847028136889,0.6388888888888911,0.30555555555555447,0.055555555555554456,1,断板,5.028571428571429,5.0280000000000005,5.080000000000001,1.8117504441903791,1.71,0.2187500000000007,0.25,0.5312499999999993,1,SZSE.002567,2025-04-10 09:30,5.17,2025-04-11 11:28:00,5.2,0.5199407295799751,1.49,2025-04-10
SZSE.002697,stock,2025-04-10,2025-04-10T16:00:00.000+0800,5.68,5.53,5.89,5.52,5.78,6.25,5.11,128023104.0,738326848.0,1.76,8.207693099975586,5.77,3419856646.0,1,false,false,true,断板,断板,断板,1天1板,5.418,5.386,5.371428571428572,-2.6408450704225257,4.82,1.5220601010319046,0.6756756756756754,0.29729729729729565,0.027027027027028843,1,断板,5.298571428571428,5.364,5.314,2.0242778168928877,5.58,0.43103448275862066,0.12068965517241427,0.4482758620689651,1,SZSE.002697,2025-04-10 09:30,5.53,2025-04-11 11:28:00,5.69,2.8315917521307727,1.49,2025-04-10
SHSE.600391,stock,2025-04-11,2025-04-11T16:00:00.000+0800,23.35,22.7,23.45,22.69,23.01,25.69,21.02,30435404.0,701661120.0,-1.46,2.3498833179473877,23.05,4856587011.900001,1,false,false,true,断板,断板,断板,1天1板,21.776,21.334,21.582857142857144,-2.783725910064249,19.01,0.8608556269211943,0.4078947368421093,0.5789473684210511,0.013157894736839522,1,断板,21.344285714285714,21.101,21.413999999999998,1.649171312409088,5.8,0.5287356321839095,0.2931034482758612,0.1781609195402293,1,SHSE.600391,2025-04-11 09:30,22.7,2025-04-14 11:28:00,23.13,1.833154899345173,1.49,2025-04-11
SHSE.600598,stock,2025-04-11,2025-04-11T16:00:00.000+0800,18.95,18.1,18.22,17.06,17.06,20.85,17.06,199021408.0,3451025920.0,-9.97,2.8114163875579834,17.34,10874347463.279999,1,false,false,true,断板,断板,断板,3天3板,17.584,15.788,16.585714285714285,-4.485488126649066,13.65,0.9258815021785258,0.8965517241379333,0.10344827586206674,0.0,-1,断板,16.135714285714283,15.498000000000001,17.022000000000002,1.4425834751198778,-0.16,0.7173913043478253,0.2826086956521748,0.0,1,SHSE.600598,2025-04-11 09:30,18.1,2025-04-14 11:28:00,16.77,-7.403640786217192,1.49,2025-04-11
SZSE.000501,stock,2025-04-11,2025-04-11T16:00:00.000+0800,10.76,10.48,10.58,10.1,10.23,11.84,9.68,69391824.0,717625472.0,-4.93,7.128454208374023,10.34,4265343882.03,1,false,false,true,断板,断板,断板,1天1板,10.1,9.614999999999998,9.85,-2.6022304832713696,8.28,0.8630718250910959,0.5208333333333329,0.2083333333333324,0.2708333333333347,-1,断板,9.702857142857143,9.516,9.924,1.332682547635066,4.98,0.5116279069767447,0.3798449612403105,0.10852713178294487,1,SZSE.000501,2025-04-11 09:30,10.48,2025-04-14 11:28:00,10.48,-0.059982005398378425,1.49,2025-04-11
SZSE.000617,stock,2025-04-11,2025-04-11T16:00:00.000+0800,7.29,7.1,7.15,6.87,6.9,8.02,6.56,429758816.0,3000225792.0,-5.35,7.87562894821167,6.98,14478247078.2,1,false,false,true,断板,断板,断板,1天1板,6.601999999999999,6.545,6.585714285714286,-2.6063100137174264,5.77,1.2310631397065814,0.7142857142857111,0.17857142857143096,0.10714285714285794,-1,炸板,6.517142857142858,6.503,6.544,2.330234993061033,8.16,0.6567164179104484,0.17910447761194048,0.1641791044776111,1,SZSE.000617,2025-04-11 09:30,7.1,2025-04-14 11:28:00,7.19,1.2068632931247516,1.49,2025-04-11
SZSE.002102,stock,2025-04-11,2025-04-11T16:00:00.000+0800,2.81,2.72,2.85,2.69,2.78,3.09,2.53,126158016.0,347593792.0,-1.07,9.21806812286377,2.76,4669141210.44,1,false,false,true,断板,断板,断板,1天1板,2.6339999999999995,2.817,2.717142857142857,-3.2028469750889625,2.35,1.3168955242167535,0.3749999999999972,0.4375000000000014,0.1875000000000014,1,断板,2.7585714285714285,2.848,2.6379999999999995,2.3455175747894237,6.04,0.21428571428571427,0.35714285714285715,0.42857142857142855,1,SZSE.002102,2025-04-11 09:30,2.72,2025-04-14 11:28:00,2.84,4.349136435539922,1.49,2025-04-11
SZSE.002688,stock,2025-04-11,2025-04-11T16:00:00.000+0800,8.5,8.14,8.2,7.65,7.65,9.35,7.65,148555808.0,1152279040.0,-10.0,6.1084208488464355,7.76,3341496292.65,1,false,false,true,断板,断板,断板,9天6板,7.552,6.401000000000001,7.014285714285714,-4.235294117647053,4.35,1.4568569548792982,0.890909090909093,0.10909090909090698,0.0,-1,炸板,6.662857142857143,6.161,7.209999999999999,3.91486288708486,7.59,0.5217391304347826,0.16521739130434748,0.31304347826087,1,SZSE.002688,2025-04-11 09:30,8.14,2025-04-14 11:28:00,6.93,-14.915930626217541,1.49,2025-04-11
