code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_10,sma_7,open_pct,lowest_30,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_sma_10,prev_sma_5,pre_volume_ratio_5,pre_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,signal,code_right,buy_date,buy_price,sell_date,sell_price,profit,holding_days,trading_date_right
SZSE.002269,stock,2021-05-27,2021-05-27T16:00:00.000+0800,3.53,3.42,3.84,3.33,3.65,3.88,3.18,327543648.0,1175180416.0,3.4,4.488063335418701,3.59,4702235289.65,1,false,false,true,断板,断板,断板,3天3板,3.5660000000000003,3.218,3.3814285714285717,-3.1161473087818665,2.42,1.05619914158208,0.4509803921568629,0.3725490196078432,0.1764705882352939,1,断板,3.2614285714285716,3.145,3.4219999999999997,1.3861101203676136,-9.25,0.6851851851851853,0.27777777777777757,0.03703703703703707,-1,1,SZSE.002269,2021-05-27 09:30,3.42,2021-05-28 11:28:00,3.51,2.5700184681437688,1.49,2021-05-27
SZSE.002269,stock,2021-05-28,2021-05-28T16:00:00.000+0800,3.65,3.54,3.62,3.43,3.46,4.02,3.29,219498848.0,770106688.0,-5.21,4.488063335418701,3.51,4457461397.86,1,false,false,true,断板,断板,断板,3天3板,3.614,3.277,3.46,-3.013698630136983,2.42,0.705485789612175,0.42105263157894784,0.42105263157894784,0.15789473684210428,-1,断板,3.3814285714285717,3.218,3.5660000000000003,1.05619914158208,3.4,0.4509803921568629,0.3725490196078432,0.1764705882352939,1,1,SZSE.002269,2021-05-28 09:30,3.54,2021-06-03 11:28:00,4.78,34.947255936213494,4.49,2021-05-28
SZSE.002717,stock,2021-05-28,2021-05-28T16:00:00.000+0800,3.54,3.45,3.54,3.38,3.39,3.89,3.19,76741680.0,262997088.0,-4.24,13.505895614624023,3.43,3449774636.04,1,false,false,true,断板,断板,断板,2天2板,3.55,3.246,3.3885714285714283,-2.542372881355928,2.84,0.7350746559730518,0.375,0.5624999999999987,0.06250000000000139,-1,断板,3.3314285714285714,3.2,3.482,1.0874458550725774,-5.85,0.8750000000000007,0.04166666666666582,0.08333333333333348,-1,1,SZSE.002717,2021-05-28 09:30,3.45,2021-05-31 11:28:00,3.4,-1.5083880632911641,1.49,2021-05-28
SHSE.600328,stock,2021-06-01,2021-06-01T16:00:00.000+0800,12.59,12.25,12.33,11.77,11.89,13.85,11.33,72310320.0,867992640.0,-5.56,3.110103130340576,12.0,4457298766.05,1,false,false,true,断板,断板,断板,5天2板,11.626,10.703,11.268571428571429,-2.700555996822874,8.21,0.8286016807721681,0.6428571428571412,0.14285714285714285,0.21428571428571588,-1,炸板,10.88142857142857,10.504000000000001,11.378,1.0645339344302018,6.07,0.5471698113207545,0.44339622641509474,0.009433962264150738,1,1,SHSE.600328,2021-06-01 09:30,12.25,2021-06-02 11:28:00,11.76,-4.0575827251824315,1.49,2021-06-01
SHSE.600713,stock,2021-06-01,2021-06-01T16:00:00.000+0800,5.99,5.7,6.13,5.68,5.79,6.59,5.39,99722872.0,586356096.0,-3.34,10.933296203613281,5.88,3263930028.15,1,false,false,true,断板,断板,断板,3天2板,5.536,5.1049999999999995,5.305714285714286,-4.841402337228715,4.28,1.168635937292342,0.1999999999999996,0.755555555555555,0.04444444444444545,1,炸板,5.138571428571429,5.005,5.332,2.316257496658828,7.35,0.060606060606061996,0.4545454545454528,0.4848484848484852,1,1,SHSE.600713,2021-06-01 09:30,5.7,2021-06-02 11:28:00,5.48,-3.9173160332601764,1.49,2021-06-01
SHSE.600844,stock,2021-06-01,2021-06-01T16:00:00.000+0800,5.36,5.19,5.9,5.15,5.53,5.9,4.82,105899656.0,586335936.0,3.17,6.9366888999938965,5.54,3467056737.06,1,false,true,false,,炸板,5天2板,2天2板,5.204000000000001,4.7589999999999995,4.928571428571429,-3.1716417910447747,3.86,1.5343365525740924,0.45333333333333314,0.49333333333333346,0.05333333333333338,1,断板,4.757142857142857,4.644,4.948,1.662268045393666,1.13,0.14285714285714407,0.38095238095237927,0.4761904761904767,1,1,SHSE.600844,2021-06-01 09:30,5.19,2021-06-02 11:28:00,5.32,2.443332510844052,1.49,2021-06-01
SZSE.002581,stock,2021-06-01,2021-06-01T16:00:00.000+0800,23.94,23.17,23.65,22.08,23.38,26.33,21.55,65147800.0,1486397568.0,-2.34,2.887166976928711,22.82,7205104566.24,1,false,false,true,断板,断板,断板,4天3板,23.082,20.918,22.004285714285714,-3.2163742690058457,8.72,0.7510920174523571,0.13375796178343774,0.17197452229299331,0.694267515923569,1,断板,21.198571428571427,20.601000000000003,22.451999999999998,1.1447608667921525,-0.29,0.15972222222222135,0.16666666666666688,0.6736111111111118,-1,1,SZSE.002581,2021-06-01 09:30,23.17,2021-06-02 11:28:00,24.02,3.606354433764812,1.49,2021-06-01
SZSE.003039,stock,2021-06-02,2021-06-02T16:00:00.000+0800,56.8,55.01,57.38,52.78,53.74,62.48,51.12,25847628.0,1408419072.0,-5.39,1.0,54.49,3331880000.0,1,false,false,true,断板,断板,断板,4天4板,56.40599999999999,50.891000000000005,53.135714285714286,-3.151408450704224,39.35,0.7506316513374294,0.2760869565217382,0.5152173913043486,0.20869565217391317,-1,断板,51.57285714285714,50.467,55.077999999999996,1.1432035406980832,-9.4,0.9103554868624423,0.030911901081916982,0.05873261205564073,-1,1,SZSE.003039,2021-06-02 09:30,55.01,2021-06-03 11:28:00,52.82,-4.038688411655006,1.49,2021-06-02
SHSE.600238,stock,2021-06-03,2021-06-03T16:00:00.000+0800,19.79,19.21,21.77,19.21,21.77,21.77,17.81,65773260.0,1367258496.0,10.01,4.013294696807861,20.79,5826960137.53,1,true,false,false,,涨停,6天4板,4天3板,20.508,18.002,19.358571428571427,-2.930773117736222,9.68,0.9139034007882241,1.0,0.0,0.0,1,断板,18.435714285714287,17.241999999999997,19.607999999999997,1.4945117965694465,-10.0,0.881868131868132,0.11813186813186803,0.0,-1,1,SHSE.600238,2021-06-03 09:30,19.21,2021-06-04 11:28:00,23.31,21.27026649943591,1.49,2021-06-03
SHSE.600753,stock,2021-06-03,2021-06-03T16:00:00.000+0800,44.99,43.77,49.49,42.8,49.49,49.49,40.49,19424868.0,918953024.0,10.0,2.968937873840332,47.31,5278442557.5,1,true,false,false,,涨停,5天2板,2天1板,42.498000000000005,38.167,40.042857142857144,-2.7117137141586993,17.07,0.9533710954942929,0.8550074738415537,0.0,0.14499252615844624,1,炸板,37.55857142857143,36.524,39.398,0.7571674549957027,8.67,0.6535580524344577,0.10299625468164748,0.24344569288389475,1,1,SHSE.600753,2021-06-03 09:30,43.77,2021-06-04 11:28:00,50.01,14.187806714873814,1.49,2021-06-03
SZSE.002570,stock,2021-06-03,2021-06-03T16:00:00.000+0800,6.13,5.97,6.58,5.94,6.32,6.74,5.52,157175712.0,981167296.0,3.1,2.5789401531219482,6.24,4444519460.0,1,false,false,true,断板,断板,断板,2天1板,6.1259999999999994,5.648,5.885714285714286,-2.610114192495924,4.83,0.9012356405014121,0.5468750000000011,0.4062499999999999,0.04687499999999902,1,断板,5.732857142857142,5.514,5.9479999999999995,1.149878778339023,-7.26,0.6792452830188682,0.24528301886792422,0.07547169811320757,-1,1,SZSE.002570,2021-06-03 09:30,5.97,2021-06-04 11:28:00,6.19,3.6228997297460923,1.49,2021-06-03
SZSE.002900,stock,2021-06-03,2021-06-03T16:00:00.000+0800,30.3,29.22,31.09,28.82,29.74,33.33,27.27,25753376.0,772372672.0,-1.85,1.6381891965866089,29.99,3351000597.0,1,false,false,true,断板,断板,断板,3天3板,30.354000000000003,27.122000000000003,28.830000000000002,-3.56435643564357,13.04,0.7265890818274692,0.22907488986784127,0.5947136563876659,0.1762114537444928,1,断板,27.981428571428573,26.51,29.648000000000003,0.906941274974355,-2.85,0.3286219081272086,0.2614840989399289,0.4098939929328625,-1,1,SZSE.002900,2021-06-03 09:30,29.22,2021-06-04 11:28:00,30.96,5.891271632883866,1.49,2021-06-03
SHSE.600327,stock,2021-06-04,2021-06-04T16:00:00.000+0800,8.6,8.33,8.36,7.85,8.05,9.46,7.74,47139420.0,383786304.0,-6.4,15.691790580749512,8.14,3752910064.4,1,false,false,true,断板,断板,断板,10天7板,8.436,7.809,8.098571428571429,-3.1395348837209256,4.29,0.6447207937832241,0.5490196078431362,0.05882352941176348,0.3921568627451003,-1,断板,8.014285714285714,7.608,8.328,0.8883657910844204,5.13,0.6593406593406594,0.2087912087912084,0.1318681318681321,1,1,SHSE.600327,2021-06-04 09:30,8.33,2021-06-07 11:28:00,7.99,-4.139166413341293,1.49,2021-06-04
SZSE.002269,stock,2021-06-04,2021-06-04T16:00:00.000+0800,4.74,4.55,4.61,4.27,4.27,5.21,4.27,257089248.0,1116628864.0,-9.92,4.488063335418701,4.34,5500971147.07,1,false,false,true,断板,断板,断板,9天6板,4.324,3.969,4.104285714285714,-4.008438818565409,2.42,0.9220157705475853,0.8235294117647048,0.17647058823529518,0.0,-1,炸板,3.9985714285714287,3.864,4.162000000000001,1.7064112279037136,2.82,0.0655737704918033,0.5409836065573769,0.39344262295081983,1,1,SZSE.002269,2021-06-04 09:30,4.55,2021-06-07 09:30:00,4.04,-11.26204995644162,1.0,2021-06-04
SZSE.002570,stock,2021-06-04,2021-06-04T16:00:00.000+0800,6.32,6.15,6.25,6.01,6.11,6.95,5.69,92116880.0,566477824.0,-3.32,2.5789401531219482,6.15,4296837642.5,1,false,false,true,断板,断板,断板,2天1板,6.236,5.758,6.024285714285715,-2.689873417721518,4.83,0.5444879965529882,0.16666666666666666,0.4166666666666648,0.4166666666666685,-1,断板,5.885714285714286,5.648,6.1259999999999994,0.9012356405014121,3.1,0.5468750000000011,0.4062499999999999,0.04687499999999902,1,1,SZSE.002570,2021-06-04 09:30,6.15,2021-06-07 11:28:00,5.87,-4.610096645803008,1.49,2021-06-04
SHSE.600751,stock,2021-06-07,2021-06-07T16:00:00.000+0800,3.97,3.86,4.11,3.75,4.08,4.37,3.57,251786512.0,991087424.0,2.77,4.5927534103393555,3.94,5321055897.36,1,false,false,true,断板,断板,断板,5天4板,3.7340000000000004,3.178,3.462857142857143,-2.770780856423182,1.86,0.9776147253742292,0.6111111111111112,0.08333333333333395,0.3055555555555549,1,炸板,3.2414285714285715,3.023,3.5020000000000002,1.5133087078186418,2.32,0.08333333333333416,0.8333333333333329,0.08333333333333293,1,1,SHSE.600751,2021-06-07 09:30,3.86,2021-06-09 09:30:00,3.48,-9.898636626628592,2.0,2021-06-07
SZSE.002426,stock,2021-06-07,2021-06-07T16:00:00.000+0800,3.34,3.24,3.58,3.11,3.52,3.67,3.01,348581888.0,1169502336.0,5.39,5.273509979248047,3.36,9287817197.12,1,false,false,true,断板,断板,断板,2天2板,3.336,3.0949999999999998,3.19,-2.9940119760478936,2.07,1.1024581466419858,0.5957446808510631,0.12765957446808518,0.2765957446808517,1,断板,3.1014285714285714,3.033,3.1979999999999995,1.1008120703943052,1.52,0.4482758620689651,0.44827586206896664,0.10344827586206828,1,1,SZSE.002426,2021-06-07 09:30,3.24,2021-06-08 11:28:00,3.38,4.258413833874515,1.49,2021-06-07
SZSE.000925,stock,2021-06-08,2021-06-08T16:00:00.000+0800,8.68,8.45,9.09,8.35,8.8,9.55,7.81,50762228.0,441398624.0,1.38,3.4734413623809814,8.7,3910584876.0000005,1,false,false,true,断板,断板,断板,2天2板,8.472,7.714,8.085714285714285,-2.649769585253461,6.56,1.0012819317792574,0.47297297297297475,0.3918918918918906,0.13513513513513462,1,断板,7.821428571428571,7.509,8.134,1.6082118192123291,2.6,0.12745098039215594,0.4803921568627455,0.39215686274509853,1,1,SZSE.000925,2021-06-08 09:30,8.45,2021-06-09 11:28:00,8.79,3.9612731565145936,1.49,2021-06-08
SZSE.002411,stock,2021-06-08,2021-06-08T16:00:00.000+0800,6.58,6.35,6.73,6.24,6.38,7.24,5.92,103014000.0,663943168.0,-3.04,4.163819313049316,6.45,3045446540.84,1,false,false,true,断板,断板,断板,5天2板,6.052,5.51,5.857142857142857,-3.495440729483289,4.39,0.9814668898532829,0.06122448979591885,0.7142857142857151,0.2244897959183661,1,炸板,5.627142857142857,5.336,5.874,1.452011755649388,6.13,0.24489795918367357,0.48979591836734715,0.2653061224489793,1,1,SZSE.002411,2021-06-08 09:30,6.35,2021-06-09 11:28:00,6.44,1.3564906905881144,1.49,2021-06-08
SZSE.000995,stock,2021-06-09,2021-06-09T16:00:00.000+0800,33.87,32.3,37.26,31.69,37.26,37.26,30.48,50352744.0,1759910400.0,10.01,1.6851999759674072,34.95,3999563255.3399997,1,true,false,false,,涨停,8天6板,6天5板,33.226,28.552,31.40142857142857,-4.635370534396222,17.41,1.0719786038003483,0.8904847396768409,0.0,0.10951526032315911,1,断板,29.398571428571426,26.897000000000002,31.398000000000003,1.14271261091062,-2.48,0.4841121495327108,0.22616822429906552,0.28971962616822367,-1,1,SZSE.000995,2021-06-09 09:30,32.3,2021-06-10 11:28:00,34.22,5.880724946602713,1.49,2021-06-09
