code,underlying,trading_date,datetime,pre_close,open,high,low,close,limit_up,limit_down,volume,turnover,pct,adj,vwap,mv_A_free_float,not_abnormal,is_limit_up,is_broken_limit,is_db,limit_status_ext,limit_status,limit_desc,last_limit_desc,sma_5,sma_7,ema_7,ewma_volatility_8,open_pct,lowest_30,close_sma7_pct,volume_ratio_5,body_ratio,upper_shadow_ratio,lower_shadow_ratio,candle_direction,prev_limit_status,prev_sma_7,prev_ema_7,pre_volume_ratio_5,pre_pct,pre_vwap,pre_ewma_volatility_8,pre_close_sma7_pct,pre_body_ratio,pre_upper_shadow_ratio,pre_lower_shadow_ratio,pre_candle_direction,code_right,buy_time,buy_price,sell_time,sell_price,profit,holding_days,trading_date_right
SHSE.600536,stock,2021/6/15,2021-06-15T16:00:00.000+0800,64.92,63.01,63.58,60.5,60.84,71.41,58.43,28016396,1724333184,-6.28,5.302999973,61.55,17337473562,1,FALSE,FALSE,TRUE,断板,断板,断板,4天2板,62.51,60.72428571,61.11127021,6.139517513,-2.942082563,42.96,0.190556849,0.73981035,0.704545455,0.185064935,0.11038961,-1,断板,59.68571429,61.20169361,1.135164538,-2.24,65.52,3.218641759,8.76974629,0.267326733,0.492574257,0.24009901,-1,SHSE.600536,2021/6/15 9:30,63.01,2021/6/16 11:28,61.19,-2.946679875,1.49,2021/6/15
SHSE.600773,stock,2021/6/15,2021-06-15T16:00:00.000+0800,14.04,13.67,14.72,13.67,13.78,15.44,12.64,47565836,672135552,-1.85,5.604799271,14.13,5666240394,1,FALSE,FALSE,TRUE,断板,断板,断板,2天1板,13.502,13.38142857,13.59490873,1.9850209,-2.635327635,9.29,2.978541689,0.818720529,0.104761905,0.895238095,0,1,断板,13.22714286,13.53321164,1.36173531,-2.57,13.85,3.471690209,6.14537207,0.052631579,0.252631579,0.694736842,1,SHSE.600773,2021/6/15 9:30,13.67,2021/6/16 11:28,12.84,-6.128029916,1.49,2021/6/15
SZSE.002547,stock,2021/6/15,2021-06-15T16:00:00.000+0800,5.35,5.09,5.26,4.82,5.03,5.89,4.82,128089736,636503104,-5.98,6.121513367,4.97,3404388911,1,FALSE,FALSE,TRUE,断板,断板,断板,6天5板,5.428,5.221428571,5.083461952,6.286159576,-4.859813084,3.35,-3.66621067,0.822401325,0.136363636,0.386363636,0.477272727,-1,断板,5.084285714,5.101282603,1.162165512,-9.93,5.54,9.917178876,5.226187131,0.735849057,0.264150943,0,-1,SZSE.002547,2021/6/15 9:30,5.09,2021/6/16 11:28,4.72,-7.324777027,1.49,2021/6/15
SHSE.603927,stock,2021/6/16,2021-06-16T16:00:00.000+0800,45.21,43.1,43.92,40.69,41.37,49.73,40.69,24314580,1017038144,-8.49,1.007672668,41.83,10794885914,1,FALSE,FALSE,TRUE,断板,断板,断板,2天2板,42.604,41.51142857,41.71764872,8.269495042,-4.667109047,34.4,-0.340697915,1.386570532,0.535603715,0.253869969,0.210526316,-1,断板,40.90285714,41.83353163,1.99157411,-2.19,47.01,3.23845192,10.53017603,0.756097561,0.243902439,0,-1,SHSE.603927,2021/6/16 9:30,43.1,2021/6/17 11:28,40.8,-5.393208024,1.49,2021/6/16
SZSE.000009,stock,2021/6/16,2021-06-16T16:00:00.000+0800,15.31,14.66,14.99,13.82,13.97,16.84,13.78,229679520,3302853120,-8.75,11.83533478,14.38,23446661903,1,FALSE,FALSE,TRUE,断板,断板,断板,4天2板,14.074,13.39571429,13.41310936,8.713306162,-4.245591117,9.49,4.287085422,0.860654695,0.58974359,0.282051282,0.128205128,-1,断板,12.85571429,13.22747914,0.890062904,8.35,14.85,8.11680794,19.09101011,0.292857143,0.142857143,0.564285714,1,SZSE.000009,2021/6/16 9:30,14.66,2021/6/17 11:28,14.89,1.507971892,1.49,2021/6/16
SHSE.600096,stock,2021/6/17,2021-06-17T16:00:00.000+0800,13.6,13.14,14.4,12.6,14.02,14.96,12.24,79689424,1096721024,3.09,2.559050798,13.76,8138737526,1,FALSE,FALSE,TRUE,断板,断板,断板,5天2板,13.67,13.25428571,13.21260741,3.010227859,-3.382352941,7.51,5.777107135,0.874279702,0.488888889,0.211111111,0.3,1,断板,12.93,12.94347654,0.691631948,-0.73,13.65,1.199011857,5.181747873,0.233766234,0.415584416,0.350649351,-1,SHSE.600096,2021/6/17 9:30,13.14,2021/6/18 11:28,13.11,-0.288155562,1.49,2021/6/17
SHSE.600238,stock,2021/6/17,2021-06-17T16:00:00.000+0800,28.67,27.9,30.5,26.7,28.83,31.54,25.8,70270024,2034409088,0.56,4.013294697,28.95,7716640366,1,FALSE,FALSE,TRUE,断板,断板,断板,12天7板,29.57,29.12571429,28.30948284,2.453660913,-2.685734217,12.01,-1.015303119,0.909398041,0.244736842,0.439473684,0.315789474,1,断板,28.61428571,28.13597712,0.672921859,-10.01,29.68,9.768715264,0.194707938,0.443333333,0.556666667,0,-1,SHSE.600238,2021/6/17 9:30,27.9,2021/6/18 11:28,26.39,-5.468922047,1.49,2021/6/17
SZSE.002530,stock,2021/6/18,2021-06-18T16:00:00.000+0800,8.79,8.47,9.67,8.44,9.67,9.67,7.91,43718020,401548992,10.01,3.346186638,9.18,4408373902,1,TRUE,FALSE,FALSE,,涨停,5天3板,2天2板,8.802,8.402857143,8.589402793,9.823106723,-3.640500569,7.18,15.07990479,1.191705294,0.975609756,0,0.024390244,1,断板,8.074285714,8.229203724,1.317921269,6.03,8.08,6.198563935,8.864118896,0.768,0.056,0.176,1,SZSE.002530,2021/6/18 9:30,8.47,2021/6/23 11:28,11.66,37.57976503,3.49,2021/6/18
SHSE.600070,stock,2021/6/21,2021-06-21T16:00:00.000+0800,9.73,9.42,10.5,8.95,10.08,10.7,8.76,82421008,791747968,3.6,9.377126694,9.61,3832416242,1,FALSE,FALSE,TRUE,断板,断板,断板,3天3板,9.65,9.115714286,9.227248952,3.511741247,-3.18602261,6.84,10.57827927,1.239207554,0.425806452,0.270967742,0.303225806,1,断板,8.734285714,8.942998603,1.610685238,1.35,9.84,1.580751866,11.40006542,0.344827586,0.655172414,0,1,SHSE.600070,2021/6/21 9:30,9.42,2021/6/22 11:28,9.71,3.016727678,1.49,2021/6/21
SHSE.601619,stock,2021/6/21,2021-06-21T16:00:00.000+0800,3.91,3.79,4.3,3.78,4.3,4.3,3.52,150764224,609837504,9.97,1.041781425,4.04,4021308082,1,TRUE,FALSE,FALSE,,涨停,4天3板,2天2板,3.9,3.767142857,3.865541399,9.76762771,-3.069053708,3.34,14.14486159,1.657661005,0.980769231,0,0.019230769,1,断板,3.638571429,3.720721865,2.893484111,-5.33,4.04,5.729608896,7.459756576,0.914285714,0.028571429,0.057142857,-1,SHSE.601619,2021/6/21 9:30,3.79,2021/6/22 11:28,4.48,18.13490254,1.49,2021/6/21
