trading_date,factor_group,mean,count
2024-10-14,G1,0.055234301911180846,1015
2024-10-14,G2,0.03449583217883264,1014
2024-10-14,G3,0.0300171645604222,1014
2024-10-14,G4,0.029330194794479493,1014
2024-10-14,G5,0.023155025440133873,1014
2024-10-15,G1,0.07866782789782409,1015
2024-10-15,G2,0.06297132422006085,1014
2024-10-15,G3,0.056973404387749706,1014
2024-10-15,G4,0.06015114257333849,1014
2024-10-15,G5,0.048868396923370735,1015
2024-10-16,G1,0.07582146883455865,1015
2024-10-16,G2,0.0619043517600212,1015
2024-10-16,G3,0.062467235130928195,1014
2024-10-16,G4,0.05924315158572866,1015
2024-10-16,G5,0.04908100809799475,1015
2024-10-17,G1,0.07571899235157606,1016
2024-10-17,G2,0.06356362378637981,1015
2024-10-17,G3,0.06438813395504386,1015
2024-10-17,G4,0.061992602220523066,1015
2024-10-17,G5,0.05525082627267054,1015
2024-10-18,G1,0.06683073526799864,1015
2024-10-18,G2,0.05330144908455409,1015
2024-10-18,G3,0.05347489064299362,1015
2024-10-18,G4,0.05150497065368647,1015
2024-10-18,G5,0.041806044412972254,1015
2024-10-21,G1,0.07991794730984052,1015
2024-10-21,G2,0.05828846731774694,1015
2024-10-21,G3,0.06547959229569889,1015
2024-10-21,G4,0.05741982630860777,1015
2024-10-21,G5,0.04533830863751858,1015
2024-10-22,G1,0.04254361133519134,1016
2024-10-22,G2,0.02388315237735007,1015
2024-10-22,G3,0.025043815780004666,1015
2024-10-22,G4,0.030322249183846205,1015
2024-10-22,G5,0.02629074954278147,1015
2024-10-23,G1,0.039347312648639575,1015
2024-10-23,G2,0.02552963576223023,1014
2024-10-23,G3,0.019578329849827342,1015
2024-10-23,G4,0.02766994488925297,1014
2024-10-23,G5,0.02639702727238566,1015
2024-10-24,G1,0.04673939361211602,1015
2024-10-24,G2,0.038118349057728165,1014
2024-10-24,G3,0.04024859639536522,1015
2024-10-24,G4,0.045872377794085525,1014
2024-10-24,G5,0.0582092408572533,1015
2024-10-25,G1,-0.004324082896277008,1015
2024-10-25,G2,-0.006861402953291534,1014
2024-10-25,G3,-0.011566407740155904,1014
2024-10-25,G4,-0.010628803150722428,1014
2024-10-25,G5,-0.011089410190620801,1015
