rule,n,all_final,all_ann,all_mdd,all_sharpe,all_win,all_pl,all_mean,train_n,train_ann,train_mdd,train_sharpe,test_n,test_ann,test_mdd,test_sharpe,test_final,score
"price_lowest_30 in [1.288,1.461] AND pre_pct in [-0.02166,0.01568]",161,0.8004711933297898,-0.09398814577715042,-0.40626712321539615,-0.4073300934208872,0.422360248447205,1.2440483217651046,-0.12231409472245072,137,-0.05028665576254232,-0.2888018413638306,0.013057695119235803,24,-0.33223693535685583,-0.23855458233278914,-2.9945483634983887,0.8824802914718192,-0.5581235730886991
"avg_limit_turnover_5 in [-0,4.7] AND pre_pct in [-0.09895,-0.02166]",147,0.684188794851118,-0.1530363386440905,-0.4292813758786852,-1.005757974653471,0.3197278911564626,1.860325312549187,-0.1682911788338753,126,-0.143107568523693,-0.4292813758786852,-0.8074427114533719,21,-0.22402784162637812,-0.12317539539719669,-3.2177005337232387,0.9251227548838078,-0.5583209185175172
"mv_A_free_float in [53.22,217] AND pre_pct in [0,0.01568]",123,0.8830006688184631,-0.05275408534147763,-0.2346123854137694,-0.30971057395439067,0.4634146341463415,1.0701479943295005,-0.10464817868483828,99,0.01565667568021545,-0.20692387096597453,0.46281156878961865,24,-0.4197241303234539,-0.16908272637332666,-5.682272549003596,0.8563514256843135,-0.5583792704608876
"open_pct in [-4.306,-3.057] AND turnover_rate in [4.861,9.015]",232,0.6824467855514275,-0.15604345749370696,-0.40618744775079474,-0.76700265839596,0.38362068965517243,1.3506642074946649,-0.22083255387711967,204,-0.13531611499506035,-0.40618744775079474,-0.529899588960375,28,-0.2841161579246626,-0.10667800267329941,-4.183586503837001,0.9033503780582172,-0.5585137484380345
"avg_limit_turnover_5 in [3.034,9.603] AND pre_pct in [-0.102,0.01568]",558,0.997906146665042,-0.0009049839901259515,-0.3664665533657451,0.26834186936366855,0.4050179211469534,1.7227871525388128,0.21298133732447178,496,0.07692478789727608,-0.3441205478646031,0.5258652548686648,61,-0.46745632571367957,-0.36646655336574463,-1.939964187529398,0.8213587091428237,-0.5585588345751802
"pre_close_sma7_pct in [13.62,30.35] AND avg_limit_turnover_5 in [-0,4.7]",163,0.7602173255251417,-0.11192686004276009,-0.3900047438038401,-0.5920531478579707,0.3803680981595092,1.1993802470216526,-0.43433069475477143,136,-0.06987434413322435,-0.385135554606475,-0.09927146641269712,27,-0.33427478537618815,-0.14192864481350675,-3.5731276097122784,0.8757685213393112,-0.5585869094211479
"pre_close_sma7_pct in [7.04,10.15] AND limit_days in [2,6]",429,0.7843171529149103,-0.10007016354461773,-0.4460755039440475,-0.27554278338940347,0.44755244755244755,1.3311055447712326,0.09354111805428757,373,-0.08039408661057879,-0.4009830905732472,-0.17803166546451368,55,-0.3300698759047651,-0.2664619568342944,-2.069094574329916,0.8823969744259983,-0.5586064543050824
"mv_A_free_float in [97.91,134] AND avg_limit_turnover_5 in [4.7,14.33]",120,0.8927966449660951,-0.04910576406281253,-0.22636020854625039,-0.25734932781249126,0.44166666666666665,1.185706616062407,-0.0787933594457887,96,0.01474216018937291,-0.2179974169382024,0.5996841861412968,24,-0.4015426769809254,-0.22636020854625005,-4.21461190701415,0.8675656202798059,-0.5588215667218622
"pre_close_sma7_pct in [7.04,11.83] AND pre_pct in [-0.04105,0.04292]",394,0.7137598228696247,-0.13614556792989152,-0.3834465939151158,-0.5522226531464077,0.4213197969543147,1.3028211898538742,-0.06304351486304516,336,-0.11410722639397841,-0.3834465939151158,-0.4440676985834399,58,-0.26780494120892606,-0.2470556465663989,-1.194572538979607,0.9064590053458916,-0.5588309083183962
"open_pct in [-3.768,-2.881] AND turnover_rate in [19.06,27.62]",190,0.44464980847020624,-0.30162981232523467,-0.6418711104929449,-2.1879426522082004,0.43157894736842106,1.0598792339475367,-0.29976912430951985,161,-0.3477018174392075,-0.6418711104929449,-2.8703645523870547,29,0.13080900208894342,-0.15640792267560144,0.8028238676465779,1.0328615395396241,-0.5588343984101012
