20260331 21:56:27- INFO- 开始更新指数、ETF、板块数据
20260331 21:56:27- INFO- ==================================================
20260331 21:56:27- INFO- 开始更新指数日线数据
20260331 21:56:27- INFO- 开始获取数据: 20200101 至 20260331
20260331 21:56:44- INFO- 获取 20200619 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:44- INFO- 获取 20200620 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:45- INFO- 获取 20200621 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:45- INFO- 获取 20200622 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:45- INFO- 获取 20200623 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 14秒后可用
20260331 21:56:45- INFO- 获取 20200624 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:45- INFO- 获取 20200625 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:45- INFO- 获取 20200626 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:45- INFO- 获取 20200627 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:45- INFO- 获取 20200628 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:45- INFO- 获取 20200629 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:45- INFO- 获取 20200630 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:45- INFO- 获取 20200701 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:46- INFO- 获取 20200702 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:46- INFO- 获取 20200703 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥⚡❄️❄️ 13秒后可用
20260331 21:56:46- INFO- 获取 20200704 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:46- INFO- 获取 20200705 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:46- INFO- 获取 20200706 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:46- INFO- 获取 20200707 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:46- INFO- 获取 20200708 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:46- INFO- 获取 20200709 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:46- INFO- 获取 20200710 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:46- INFO- 获取 20200711 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:47- INFO- 获取 20200712 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:47- INFO- 获取 20200713 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:47- INFO- 获取 20200714 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 12秒后可用
20260331 21:56:47- INFO- 获取 20200715 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:47- INFO- 获取 20200716 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:47- INFO- 获取 20200717 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:47- INFO- 获取 20200718 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:47- INFO- 获取 20200719 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:47- INFO- 获取 20200720 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:47- INFO- 获取 20200721 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:47- INFO- 获取 20200722 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:48- INFO- 获取 20200723 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:48- INFO- 获取 20200724 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 11秒后可用
20260331 21:56:48- INFO- 获取 20200725 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:48- INFO- 获取 20200726 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
20260331 21:56:48- INFO- 获取 20200727 数据失败: 请求过于频繁 🔥🔥🔥🔥🔥🔥🔥🔥⚡❄️ 10秒后可用
