week_id,week_end_date,trading_days_in_week,max_daily_stock_count,limit_up_count,limit_down_count,limit_up_next_ret,limit_down_next_ret,limit_up_event_count,limit_down_event_count,limit_up_ratio,limit_down_ratio,net_limit_ratio,market_week_end_date,benchmark_value_weight_ret,future_return_1d,future_return_3d,future_return_5d,future_return_10d,chase_ret,chase_trade_count,signal_net_limit_ratio,signal_limit_down_next_ret,signal_limit_up_ratio,signal_limit_down_ratio,signal_chase_ret,total_signal_count,base_position,next_week_ret,return_week_end_date,base_model_ret,weighted_signal_value,weighted_position,weighted_model_ret,benchmark_nav,ma_10,ma_20,ma_60,signal_ma20,market_trend,trend_buy_signal,trend_position,trend_model_ret
2025-15,2025-04-11,5,4994,496,3193,0.030947493884566774,-0.014803438864700995,413,3185,0.09931918301962354,0.6393672406888266,-0.540048057669203,2025-04-11,-0.04098727332533625,0.009121467255777782,0.006579970083889108,0.00719621066702425,0.01800480447657704,-0.0016084924747209214,1377,0,0,1,0,1,2,0.75,0.00719621066702425,2025-04-18,0.005397158000268187,0.55,0.8,0.0057569685336194,1.0908794799464199,1.1462080592555268,1.1339854543631005,1.0482388624545045,2.25,up,true,1.0,0.00719621066702425
2025-16,2025-04-18,5,4995,350,34,0.006479291270242243,-0.055598441906688875,291,21,0.07007007007007007,0.006806806806806807,0.06326326326326326,2025-04-18,0.00719621066702425,0.008895919784589035,0.012384096128299715,0.010731368620216175,0.030137387907365643,-0.0017503937111757373,713,1,0,0,1,1,3,1.0,0.010731368620215953,2025-04-25,0.010731368620215953,0.6499999999999999,0.8,0.008585094896172762,1.0987296784964482,1.1430562814496343,1.1320493219563612,1.0502506699122627,2.25,up,true,1.0,0.010731368620215953
2025-17,2025-04-25,5,4995,360,74,0.006997374694698634,-0.04136926728640504,295,55,0.07207207207207207,0.014814814814814815,0.057257257257257256,2025-04-25,0.010731368620215953,-0.005002274739775325,-0.002919952746715193,0.019199977253739897,0.03879718577890623,-0.0016170972879860103,796,1,0,0,0,1,2,0.75,-0.002919952746715304,2025-04-30,-0.002189964560036478,0.44999999999999996,0.0,-0.0,1.110520551690365,1.1393679459072465,1.1293720551801247,1.052176857502169,2.15,up,true,1.0,-0.002919952746715304
2025-18,2025-04-30,3,4975,174,86,0.017805095864282614,-0.043869009967137135,103,71,0.034974874371859296,0.01728643216080402,0.017688442211055276,2025-04-30,-0.002919952746715304,0.015717596895809427,0.027705912597875137,0.03386697537371841,0.031700061746416486,-0.0000756464182049193,424,0,0,0,0,1,1,0.5,0.022428038719885413,2025-05-09,0.011214019359942706,0.3,0.0,0.0,1.107277884155173,1.1334128522797058,1.1265944003606583,1.0540085702292605,2.05,up,true,1.0,0.022428038719885413
2025-19,2025-05-09,4,4932,262,12,0.020528962613891866,-0.013662593538307103,228,6,0.053122465531224655,0.0024330900243309003,0.05068937550689376,2025-05-09,0.022428038719885413,0.011188011498740602,0.01898546193078432,0.007730966923078508,0.001956691096072438,0.002662275797064113,602,1,0,0,1,1,3,1.0,0.007730966923078508,2025-05-16,0.007730966923078508,0.6499999999999999,0.8,0.006184773538462807,1.132111955414678,1.1325551668093707,1.1255956341355504,1.0560194185123168,2.2,up,true,1.0,0.007730966923078508
2025-20,2025-05-16,5,4934,265,8,0.02635919918029885,0.01684321558699702,208,5,0.05370895824888529,0.0016214025131738954,0.05208755573571139,2025-05-16,0.007730966923078508,0.0013274023831320036,0.008454834327752403,-0.0057299775600195835,-0.005771192229759636,0.002255226688947899,643,1,1,0,1,1,4,1.0,-0.0057299775600196945,2025-05-23,-0.0057299775600196945,0.75,1.0,-0.0057299775600196945,1.1408642754952105,1.130282695069248,1.1250129657203867,1.0581652876238397,2.4,up,true,1.0,-0.0057299775600196945
2025-21,2025-05-23,5,4941,294,35,0.021844720217961626,-0.028473025253159773,252,25,0.05950212507589557,0.007083586318558996,0.05241853875733657,2025-05-23,-0.0057299775600196945,0.000491393709963095,-0.002925671738680302,-0.00004145218985773802,0.02083065705016418,-0.004181052538166967,696,1,0,0,1,1,3,1.0,-0.000041452189857960065,2025-05-30,-0.000041452189857960065,0.6499999999999999,0.8,-0.00003316175188636805,1.1343271487975948,1.1257248560668685,1.1278422133176846,1.0603635667045817,2.55,sideways,true,1.0,-0.000041452189857960065
2025-22,2025-05-30,5,4942,328,32,0.01940911235870702,-0.03727330546011798,287,14,0.06636989073249697,0.006475111290975314,0.05989477944152165,2025-05-30,-0.000041452189857960065,0.004538276883701897,0.014470145330812478,0.02087297447052272,0.016721093360568817,0.00409282208791008,659,1,0,0,1,1,3,1.0,0.014443218685140202,2025-06-06,0.014443218685140202,0.6499999999999999,0.8,0.011554574948112163,1.1342801284532618,1.1233338476454677,1.1312580016595375,1.0623939477552884,2.55,sideways,true,1.0,0.014443218685140202
2025-23,2025-06-06,4,4950,255,20,0.015991404045780883,-0.015562449839093188,205,16,0.051515151515151514,0.00404040404040404,0.047474747474747475,2025-06-06,0.014443218685140202,0.006338211609040467,0.006838111900350219,-0.002247122806902757,-0.010561036670632462,-0.003411063493118892,589,1,0,0,1,1,3,1.0,-0.002247122806902757,2025-06-13,-0.002247122806902757,0.6499999999999999,0.8,-0.0017976982455222058,1.1506627843987212,1.1237156497192782,1.1338556241928077,1.065090011254351,2.55,sideways,true,1.0,-0.002247122806902757
2025-24,2025-06-13,5,4955,282,22,0.014382256989862823,-0.021285205977180744,226,12,0.05691220988900101,0.004439959636730575,0.05247225025227043,2025-06-13,-0.002247122806902757,0.004502684138681934,0.004618066429490808,-0.00833263832535236,0.021528446738271256,0.0053814503755994355,687,1,0,0,1,1,3,1.0,-0.00833263832535247,2025-06-20,-0.00833263832535247,0.6499999999999999,0.8,-0.006666110660281977,1.1480771038128446,1.1247730990660716,1.1359479540216602,1.067675835108777,2.65,sideways,true,1.0,-0.00833263832535247
