factor,horizon,group,mean_return,win_rate,n_obs,因子
limit_down_next_ret,5,G5,0.00600016306344821,0.5465116279069767,86,跌停次日收益
limit_down_next_ret,10,G1,0.018142484263137356,0.6511627906976745,86,跌停次日收益
limit_down_next_ret,10,G2,0.006811400821687073,0.611764705882353,85,跌停次日收益
limit_down_next_ret,10,G3,0.006628929154193303,0.5647058823529412,85,跌停次日收益
limit_down_next_ret,10,G4,0.010385638695187282,0.6352941176470588,85,跌停次日收益
limit_down_next_ret,10,G5,0.014281291212570341,0.6627906976744186,86,跌停次日收益
chase_ret,1,G1,-0.0034510608319634943,0.45977011494252873,87,打板策略收益（15分钟近似）
chase_ret,1,G2,0.0005490736157923866,0.5632183908045977,87,打板策略收益（15分钟近似）
chase_ret,1,G3,0.0034676052798000017,0.6551724137931034,87,打板策略收益（15分钟近似）
chase_ret,1,G4,0.004735451324554998,0.7011494252873564,87,打板策略收益（15分钟近似）
chase_ret,1,G5,0.007388837076320298,0.735632183908046,87,打板策略收益（15分钟近似）
chase_ret,3,G1,-0.0001259067575473244,0.5402298850574713,87,打板策略收益（15分钟近似）
chase_ret,3,G2,0.0038072420680593786,0.6091954022988506,87,打板策略收益（15分钟近似）
chase_ret,3,G3,0.004172576474441963,0.5977011494252874,87,打板策略收益（15分钟近似）
chase_ret,3,G4,0.005287722436534051,0.6551724137931034,87,打板策略收益（15分钟近似）
chase_ret,3,G5,0.010016136480088002,0.7011494252873564,87,打板策略收益（15分钟近似）
chase_ret,5,G1,0.0001031883052140436,0.5172413793103449,87,打板策略收益（15分钟近似）
chase_ret,5,G2,0.006253812769041895,0.6666666666666666,87,打板策略收益（15分钟近似）
chase_ret,5,G3,0.003538691434961514,0.6206896551724138,87,打板策略收益（15分钟近似）
chase_ret,5,G4,0.008555545037777567,0.5977011494252874,87,打板策略收益（15分钟近似）
chase_ret,5,G5,0.009396622555122837,0.632183908045977,87,打板策略收益（15分钟近似）
chase_ret,10,G1,0.005465198418014785,0.47126436781609193,87,打板策略收益（15分钟近似）
chase_ret,10,G2,0.011406297429610536,0.6091954022988506,87,打板策略收益（15分钟近似）
chase_ret,10,G3,0.008561493297025198,0.686046511627907,86,打板策略收益（15分钟近似）
chase_ret,10,G4,0.0103858507004974,0.632183908045977,87,打板策略收益（15分钟近似）
chase_ret,10,G5,0.021802705548111045,0.7586206896551724,87,打板策略收益（15分钟近似）
