index,factor,horizon,n_obs,pearson_ic,spearman_ic,hac_beta,hac_t,hac_pvalue,directional_ic,q5_minus_q1
中证500,chase_ret,5,435,0.034816025196761316,0.10306442136814313,0.07414399739532831,0.6306631321151965,0.5282608101130678,0.034816025196761316,0.005081398075939216
中证500,chase_ret,10,434,0.039863404131258315,0.15715023364425956,0.12409439612652862,0.7658005260569031,0.4437950011589219,0.039863404131258315,0.012064020527840103
中证1000,limit_up_ratio,1,435,0.23860985674533622,0.14896536773532942,0.1411965859399528,4.188193514128738,2.811837127724295e-05,0.23860985674533622,0.01219826300671537
中证1000,limit_up_ratio,3,435,0.12531807607336495,0.10347955449841299,0.10004215995373508,2.4247497990817757,0.015318940320499358,0.12531807607336495,0.00953865741044257
中证1000,limit_up_ratio,5,435,0.06958304284016766,0.06960807403654247,0.07306855297907228,1.2265382613075992,0.21999618618443795,0.06958304284016766,0.006470643820376102
中证1000,limit_up_ratio,10,434,0.10246712664904634,0.1274014367223849,0.15975232881822635,1.7310919383004084,0.08343536799285024,0.10246712664904634,0.010541677742703683
中证1000,limit_down_ratio,1,435,0.01677851871599519,0.00568047980807008,0.00500435627682731,0.5183491097278682,0.6042147144041243,-0.01677851871599519,0.005178933771821429
中证1000,limit_down_ratio,3,435,0.03952848804857783,0.12698240300646468,0.015905170626265747,1.0929032401105834,0.2744362855340059,-0.03952848804857783,-0.0023892576893848392
中证1000,limit_down_ratio,5,435,0.06915294538466427,0.14330373233014845,0.036601304257218414,1.7413759300813085,0.08161770450639678,-0.06915294538466427,-0.004300189619322425
中证1000,limit_down_ratio,10,434,0.12101139434075667,0.0650517358987063,0.09481653377307694,2.572789014795565,0.010088268628874724,-0.12101139434075667,-0.002075447791650969
中证1000,net_limit_ratio,1,435,0.1047408381733025,0.11154275507600396,0.03161796235227858,1.5912331815588663,0.11155710794850461,0.1047408381733025,0.011006844058873625
中证1000,net_limit_ratio,3,435,0.023921915139074757,0.0360122735765921,0.009741981568929286,0.4922901680260944,0.6225142296467464,0.023921915139074757,0.006890182137207642
中证1000,net_limit_ratio,5,435,-0.03449317255927483,-0.005480168203500042,-0.018477459062305274,-0.7831420999297174,0.4335436711095346,-0.03449317255927483,0.0024511754651341563
中证1000,net_limit_ratio,10,434,-0.07040727696908877,0.05686791023230516,-0.05587487074545768,-1.2438849229949602,0.21354191908355558,-0.07040727696908877,0.0026430832462046062
中证1000,limit_up_next_ret,1,430,0.11899919528837245,0.03481531148935239,0.20839653193613666,1.6350219752720274,0.10204444099507981,0.11899919528837245,0.004049487914552133
中证1000,limit_up_next_ret,3,430,-0.010439491851839485,-0.06205321145158192,-0.025113852689261196,-0.16779219802974213,0.8667467605496686,-0.010439491851839485,-0.004950613595774563
中证1000,limit_up_next_ret,5,430,-0.0700755092963843,-0.08503395379778049,-0.22193222583127648,-1.1560572700970158,0.24765773240027322,-0.0700755092963843,-0.008023839864744232
中证1000,limit_up_next_ret,10,429,0.01648157803079278,0.03669482006799981,0.07757396176114208,0.27842995961285766,0.7806823239429976,0.01648157803079278,0.004950218635865128
中证1000,limit_down_next_ret,1,428,0.11270023198067282,0.12907622483231493,0.11494053631532329,2.179558761180066,0.02929018447605659,0.11270023198067282,0.008238216194611604
中证1000,limit_down_next_ret,3,428,0.02991144814309688,0.013046705095119375,0.04206631167094739,0.6397379644018347,0.5223429694387607,0.02991144814309688,0.0022863604570990824
中证1000,limit_down_next_ret,5,428,-0.017645337636660534,-0.04440863258084034,-0.03266067908915646,-0.3742745420240079,0.708200070490151,-0.017645337636660534,-0.0019066602887183922
中证1000,limit_down_next_ret,10,427,-0.012248185843437296,-0.017387610479793113,-0.03365340807605195,-0.26594753324388287,0.7902796166020668,-0.012248185843437296,-0.0056888407427969035
中证1000,chase_ret,1,435,0.3282977365092097,0.22236488190606427,0.42938526845408187,5.726358721393732,1.0260913623615403e-08,0.3282977365092097,0.014703984691350525
中证1000,chase_ret,3,435,0.11200669247331825,0.12303593478701397,0.1976317652925043,1.5911093369026146,0.11158497161790673,0.11200669247331825,0.009966249724293306
中证1000,chase_ret,5,435,0.052672080429357636,0.11030896423432472,0.12225059989902633,1.0104810909745727,0.31226485429838247,0.052672080429357636,0.0058842977624923715
中证1000,chase_ret,10,434,0.06904655713290077,0.15675256315074226,0.23724813580914605,1.3438800403917401,0.17898718131998925,0.06904655713290077,0.014502069467370815
