参数组合,参数结果,综合得分
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 162, '调整正确率(%)': '56.78', '预计平均亏损改善(%)': '1.7853'}",502.4
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 135, '调整正确率(%)': '57.46', '预计平均亏损改善(%)': '1.7028'}",501.6
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.7}","{'调整天数': 117, '调整正确率(%)': '56.96', '预计平均亏损改善(%)': '2.2488'}",500.6
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 162, '调整正确率(%)': '56.99', '预计平均亏损改善(%)': '1.7142'}",500.3
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 119, '调整正确率(%)': '54.11', '预计平均亏损改善(%)': '2.4111'}",500.1
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 138, '调整正确率(%)': '56.46', '预计平均亏损改善(%)': '1.7551'}",500.0
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 139, '调整正确率(%)': '56.80', '预计平均亏损改善(%)': '1.7185'}",499.8
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.5, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 126, '调整正确率(%)': '53.81', '预计平均亏损改善(%)': '2.1510'}",499.6
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 190, '调整正确率(%)': '56.68', '预计平均亏损改善(%)': '1.7241'}",499.5
"{'min_weight': 0.1, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 124, '调整正确率(%)': '58.26', '预计平均亏损改善(%)': '1.8111'}",499.3
