参数组合,参数结果,综合得分
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 138, '调整正确率(%)': '56.46', '预计平均亏损改善(%)': '2.3401'}",0.5375057014788058
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 146, '调整正确率(%)': '54.94', '预计平均亏损改善(%)': '2.3281'}",0.5364147836715797
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.48, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 114, '调整正确率(%)': '62.83', '预计平均亏损改善(%)': '2.2638'}",0.5361583393548878
"{'min_weight': 0.1, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 205, '调整正确率(%)': '55.21', '预计平均亏损改善(%)': '1.7035'}",0.5352722116916345
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 153, '调整正确率(%)': '53.94', '预计平均亏损改善(%)': '2.2973'}",0.5346537702154694
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 139, '调整正确率(%)': '56.80', '预计平均亏损改善(%)': '2.2913'}",0.5330535665742839
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 142, '调整正确率(%)': '54.75', '预计平均亏损改善(%)': '2.3515'}",0.5308473856341094
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.4, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 168, '调整正确率(%)': '52.83', '预计平均亏损改善(%)': '2.1649'}",0.5277675143507755
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 135, '调整正确率(%)': '57.46', '预计平均亏损改善(%)': '2.2705'}",0.5270711565735511
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 156, '调整正确率(%)': '54.00', '预计平均亏损改善(%)': '2.2192'}",0.5255435734207451
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.5}","{'调整天数': 126, '调整正确率(%)': '57.34', '预计平均亏损改善(%)': '2.3583'}",0.5249047531533836
"{'min_weight': 0, 'window': 20, 'down_limit_ratio': 0.3, 'win_rate_threshold': 0.45, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 115, '调整正确率(%)': '59.56', '预计平均亏损改善(%)': '2.3572'}",0.5241134376817024
"{'min_weight': 0.1, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.4}","{'调整天数': 190, '调整正确率(%)': '56.68', '预计平均亏损改善(%)': '1.7241'}",0.5228527395730616
"{'min_weight': 0, 'window': 25, 'down_limit_ratio': 0.35, 'win_rate_threshold': 0.43, 'profit_loss_ratio_threshold': 1.3}","{'调整天数': 145, '调整正确率(%)': '54.99', '预计平均亏损改善(%)': '2.2658'}",0.522011022114313
"{'min_weight': 0, 'window': 15, 'down_limit_ratio': 0.2, 'win_rate_threshold': 0.4, 'profit_loss_ratio_threshold': 1.55}","{'调整天数': 151, '调整正确率(%)': '55.54', '预计平均亏损改善(%)': '2.1700'}",0.5205896557431946
